"ID.Cell.per.Trip","Area","Site","Year","Total.Angler.Hours","Grid.Cell.ID","Barred Sand Bass","Bat Ray","Bigmouth Sole","Black Rockfish","Black-and-Yellow Rockfish","Blacksmith","Blue Rockfish","Bocaccio","Brown Rockfish","Buffalo Sculpin","Bull Sculpin","Cabezon","Calico Rockfish","California Halibut","California Lizardfish","California Scorpionfish","California Sheephead","Canary Rockfish","Chilipepper Rockfish","China Rockfish","Chinook Salmon","Common Thresher Shark","Copper Rockfish","Deacon Rockfish","Fantail Sole","Freckled Rockfish","Garibaldi","Giant Sea Bass","Gopher Rockfish","Grass Rockfish","Halfmoon","Honeycomb Rockfish","Jack Mackerel","Jack Smelt","Kelp Bass","Kelp Greenling","Kelp Rockfish","Lingcod","Longfin Sanddab","Mackerel (Family Scombridae)","Northern Anchovy","Ocean Whitefish","Olive or Yellowtail Rockfish","Olive Rockfish","Opaleye","Pacific  (Chub) Mackerel","Pacific Barracuda","Pacific Bonito","Pacific Halibut","Pacific Sanddab","Pacific Sardine","Painted Greenling","Pelagic Stingray","Petrale Sole","Pile Perch","Quillback Rockfish","Rock Greenling","Rock Sole","Rock Wrasse","Rosy Rockfish","Rubberlip Seaperch","Salema","Sand Sole","Sanddab spp.","Sarcastic Fringehead","Sargo","Scalyhead Sculpin","Senorita","Sharpnose Surfperch","Silversides (Family Atherinopsidae)","Soupfin Shark","Speckled Sanddab","Spiny Dogfish","Squarespot Rockfish","Starry Rockfish","Starry Skate","Striped Seaperch","Tiger Rockfish","Top smelt","Treefish","Tubesnout","UnID Blue Rockfish","Unknown","Unknown rockfish","Vermilion Rockfish","White Croaker","White Seabass","Widow Rockfish","Wolf Eel","Yelloweye Rockfish","Yellowfin Croaker","Yellowtail Jack","Yellowtail Rockfish","Total"
"AIM09082002","Anacapa Island","MPA",2020,5.433333333,"AI02",0,0,0,0,0,0,0,0,0,0,0,0,0,0.368098159531785,0,0,0.184049079765893,0,0,0,0,0,0,0,0,0,0,0.184049079765893,0,0,0.368098159531785,0,0,0,1.28834355836125,0,0,0,0,0,0,20.7975460135459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1901840505025
"AIM09082006","Anacapa Island","MPA",2020,4.083333333,"AI06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734693877610995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48979591840733,0,0,0,1.46938775522199,0,0,0,0,0,0,13.7142857154052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4081632666456
"AIM09102005","Anacapa Island","MPA",2020,2.25,"AI05",0,0,0,0,0,0,0,0,0.444444444444444,0,0,0,0,0,0,0,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55555555555556,0,0,0,0,0,0,16.8888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3333333333333
"AIM09102008","Anacapa Island","MPA",2020,2.75,"AI08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.90909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27272727272727
"AIM09152001","Anacapa Island","MPA",2020,6.216666668,"AI01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804289544063423,0,0,0,0,0,0.321715817625369,0,0,0,0,0,0,0,0.160857908812685,0,0,0,2.0911528145649,0,0,0,0,0,0,15.6032171548304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9812332398968
"AIM09152009","Anacapa Island","MPA",2020,5.375000001,"AI09",0,0,0,0,0,0,0,0,0.186046511593294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186046511593294,0,0,0,0,0.186046511593294,0,0,0,0,0,0,0.558139534779881,0,0,0,0,0,0,5.02325581301893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13953488257869
"AIM09162003","Anacapa Island","MPA",2020,6.033333333,"AI03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662983425450994,0,0,0,0,0,0.165745856362748,0,0,0,0,0,0,0,0,0,0,0,1.98895027635298,0,0,0,0,0,0,21.3812154707945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1988950289613
"AIM09162004","Anacapa Island","MPA",2020,4.65,"AI04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21505376344086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44086021505376,0,0,0,0,0.21505376344086,0,18.7096774193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5806451612903
"AIM09171903","Anacapa Island","MPA",2019,5.216666667,"AI03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191693290722576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87539936083863,0,0,0,0,0,0,18.977635781535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0447284330962
"AIM09171904","Anacapa Island","MPA",2019,5.433333333,"AI04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552147239297678,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184049079765893,0,0,0,2.5766871167225,0,0,0,0,0,0,14.7239263812714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0368098170575
